Position,Team,Played,Win,Loss,Draw,%Won,Points,For,Against,Percentage,Movement,Streak
1,Swans,23,17,6,0,73.91%,68,2242,1769,126.74%,0,Won 3
2,Power,23,16,7,0,69.57%,64,2011,1752,114.78%,0,Won 6
3,Cats,23,15,8,0,65.22%,60,2164,1928,112.24%,1,Won 1
4,Giants,23,15,8,0,65.22%,60,2034,1864,109.12%,-1,Lost 1
5,Lions,23,14,8,1,63.04%,58,2130,1747,121.92%,0,Won 1
6,Bulldog,23,14,9,0,60.87%,56,2171,1736,125.06%,0,Won 2
7,Hawks,23,14,9,0,60.87%,56,2090,1763,118.55%,0,Won 3
8,Blues,23,13,10,0,56.52%,52,2151,1952,110.19%,0,Lost 1
9,Magpies,23,12,9,2,56.52%,52,1991,1943,102.47%,1,Won 2
10,Dockers,23,12,10,1,54.35%,50,1964,1755,111.91%,-1,Lost 4
11,Bombers,23,11,11,1,50.00%,46,1892,2024,93.48%,0,Lost 3
12,Saints,23,11,12,0,47.83%,44,1748,1758,99.43%,1,Won 3
13,Suns,23,11,12,0,47.83%,44,1925,1943,99.07%,1,Won 1
14,Demons,23,11,12,0,47.83%,44,1785,1812,98.51%,-2,Lost 1
15,Crows,23,8,14,1,36.96%,34,1906,1923,99.12%,0,Lost 2
16,Eagles,23,5,18,0,21.74%,20,1594,2339,68.15%,0,Lost 2
17,Kangaroos,23,3,20,0,13.04%,12,1619,2550,63.49%,0,Lost 3
18,Tigers,23,2,21,0,8.70%,8,1505,2364,63.66%,0,Lost 10